日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2010-12-31,'000001,深发展Ａ,15.79,15.87,15.59,15.68,15.67,0.12,0.7658,0.7757,24089142,378317756.9,55028367302.0,49033907345.9
2010-12-30,'000001,深发展Ａ,15.67,15.8,15.51,15.77,15.77,-0.1,-0.6341,0.5741,17826665,278979208.05,54610165650.5,48661262071.6
2010-12-29,'000001,深发展Ａ,15.77,15.98,15.6,15.95,15.95,-0.18,-1.1285,0.7627,23683256,372484729.29,54958667026.7,48971799800.2
2010-12-28,'000001,深发展Ａ,15.95,16.22,15.95,16.08,16.07,-0.12,-0.7467,0.8552,26556645,426320112.74,55585969503.9,49530767711.7
2010-12-27,'000001,深发展Ａ,16.07,16.73,16.02,16.62,16.44,-0.37,-2.2506,0.9939,30865798,505246602.81,56004171155.3,49903412986.0
2010-12-24,'000001,深发展Ａ,16.44,16.6,16.15,16.2,16.23,0.21,1.2939,0.9214,28612724,469742371.37,57293626247.3,51052402581.8
2010-12-23,'000001,深发展Ａ,0.0,0.0,0.0,0.0,16.23,None,None,0.0,0,0.0,56561773357.3,50400273351.8
2010-12-22,'000001,深发展Ａ,16.23,16.63,16.2,16.61,16.57,-0.34,-2.0519,0.7311,22703588,371863955.86,56561773357.3,50400273351.8
2010-12-21,'000001,深发展Ａ,16.57,16.65,16.07,16.17,16.13,0.44,2.7278,0.9881,30685363,503881600.32,57746678036.3,51456101629.0
2010-12-20,'000001,深发展Ａ,16.13,16.44,15.99,16.39,16.35,-0.22,-1.3456,0.825,25620545,414236395.3,56213271981.1,50089735623.2
2010-12-17,'000001,深发展Ａ,16.35,16.5,16.29,16.45,16.45,-0.1,-0.6079,0.5572,17302092,283291959.39,56979975008.7,50772918626.1
2010-12-16,'000001,深发展Ａ,16.45,16.72,16.43,16.62,16.59,-0.14,-0.8439,0.7102,22055606,365485606.38,57328476384.9,51083456354.7
2010-12-15,'000001,深发展Ａ,16.59,16.8,16.51,16.6,16.54,0.05,0.3023,0.9058,28127659,467398010.27,57816378311.6,51518209174.7
2010-12-14,'000001,深发展Ａ,16.54,16.65,16.48,16.62,16.62,-0.08,-0.4813,0.7649,23751670,392885302.87,57642127623.5,51362940310.4
2010-12-13,'000001,深发展Ａ,16.62,16.64,16.26,16.35,16.34,0.28,1.7136,0.9043,28080363,461224142.08,57920928724.4,51611370493.3
2010-12-10,'000001,深发展Ａ,16.34,16.38,16.1,16.2,16.21,0.13,0.802,0.6387,19834112,322263495.04,56945124871.1,50741864853.2
2010-12-09,'000001,深发展Ａ,16.21,16.49,16.2,16.47,16.49,-0.28,-1.698,0.7738,24029374,391356109.23,56492073082.0,50338165806.1
2010-12-08,'000001,深发展Ａ,16.49,16.74,16.45,16.7,16.73,-0.24,-1.4345,0.5567,17288608,286846722.94,57467876935.4,51207671446.1
2010-12-07,'000001,深发展Ａ,16.73,16.83,16.42,16.69,16.74,-0.01,-0.0597,0.6426,19954522,331262898.32,58304280238.3,51952961994.8
2010-12-06,'000001,深发展Ａ,16.74,16.88,16.5,16.6,16.57,0.17,1.026,0.7018,21792398,364205387.11,58339130375.9,51984015767.6
2010-12-03,'000001,深发展Ａ,16.57,16.65,16.45,16.56,16.51,0.06,0.3634,0.5056,15700622,259727657.89,57746678036.3,51456101629.0
2010-12-02,'000001,深发展Ａ,16.51,16.79,16.48,16.71,16.49,0.02,0.1213,0.6527,20269979,336507094.16,57537577210.6,51269778991.9
2010-12-01,'000001,深发展Ａ,16.49,16.56,16.3,16.39,16.39,0.1,0.6101,0.4968,15427254,253584572.54,57467876935.4,51207671446.1
2010-11-30,'000001,深发展Ａ,16.39,16.79,16.18,16.65,16.72,-0.33,-1.9737,0.9101,28262144,464292196.29,57119375559.2,50897133717.5
2010-11-29,'000001,深发展Ａ,16.72,16.88,16.48,16.59,16.69,0.03,0.1797,0.6461,20063995,333489669.32,58269430100.6,51921908221.9
2010-11-26,'000001,深发展Ａ,16.69,16.93,16.65,16.93,16.95,-0.26,-1.5339,0.7633,23703058,396929811.23,58164879687.8,51828746903.3
2010-11-25,'000001,深发展Ａ,16.95,17.12,16.6,16.81,16.76,0.19,1.1337,1.2332,38293999,645536540.14,59070983265.9,52636144997.7
2010-11-24,'000001,深发展Ａ,16.76,16.9,16.41,16.45,16.55,0.21,1.2689,1.0252,31836654,531391651.6,58408830651.1,52046123313.4
2010-11-23,'000001,深发展Ａ,16.55,16.7,16.25,16.58,16.68,-0.13,-0.7794,1.0607,32938478,540215969.04,57676977761.1,51393994083.3
2010-11-22,'000001,深发展Ａ,16.68,16.85,16.6,16.8,17.01,-0.33,-1.94,1.1383,35349870,591130267.91,58130029550.2,51797693130.5
2010-11-19,'000001,深发展Ａ,17.01,17.22,16.59,17.2,17.18,-0.17,-0.9895,1.3944,43301461,730445040.96,59280084091.6,52822467634.9
2010-11-18,'000001,深发展Ａ,17.18,17.27,16.85,16.93,16.8,0.38,2.2619,1.4083,43733956,745421239.41,59872536431.2,53350381773.5
2010-11-17,'000001,深发展Ａ,16.8,17.07,16.51,16.57,16.7,0.1,0.5988,1.0925,33927446,571087173.54,58548231201.6,52170338404.8
2010-11-16,'000001,深发展Ａ,16.7,17.3,16.66,17.3,17.31,-0.61,-3.524,1.4255,44266710,749307631.66,58199729825.4,51859800676.2
2010-11-15,'000001,深发展Ａ,17.31,17.32,16.99,17.25,17.19,0.12,0.6981,1.4166,43991846,754704068.01,60325588220.2,53754080820.7
2010-11-12,'000001,深发展Ａ,17.19,18.29,17.13,18.21,18.44,-1.25,-6.7787,1.9845,61625685,1095115001.31,59907386568.8,53381435546.3
